REPEAT       := 20
> bench: embedders:heap/query/wasm32_query_write_bwd_1gb_step_2mb_checkpoint     5 ms/iter
> bench: embedders:heap/query/wasm64_query_write_bwd_1gb_step_2mb_checkpoint     5 ms/iter
> bench: embedders:heap/query/wasm32_query_write_bwd_1gb_step_2mb_page_delta     8 ms/iter
> bench: embedders:heap/query/wasm64_query_write_bwd_1gb_step_2mb_page_delta     8 ms/iter
> bench: embedders:heap/query/wasm32_query_write_bwd_1gb_step_2mb_new_allocation     4 ms/iter
> bench: embedders:heap/query/wasm64_query_write_bwd_1gb_step_2mb_new_allocation     4 ms/iter
> bench: embedders:heap/update/wasm32_update_write_fwd_1gb_step_8_checkpoint  2100 ms/iter
> bench: embedders:heap/update/wasm64_update_write_fwd_1gb_step_8_checkpoint  2149 ms/iter
> bench: embedders:heap/update/wasm32_update_write_fwd_1gb_step_8_page_delta  2328 ms/iter
> bench: embedders:heap/update/wasm64_update_write_fwd_1gb_step_8_page_delta  2317 ms/iter
> bench: embedders:heap/update/wasm32_update_write_fwd_1gb_step_8_new_allocation  1861 ms/iter
> bench: embedders:heap/update/wasm64_update_write_fwd_1gb_step_8_new_allocation  1892 ms/iter
> bench: embedders:heap/update/wasm32_update_write_fwd_1gb_step_4kb_checkpoint  2085 ms/iter
> bench: embedders:heap/update/wasm64_update_write_fwd_1gb_step_4kb_checkpoint  2045 ms/iter
> bench: embedders:heap/update/wasm32_update_write_fwd_1gb_step_4kb_page_delta  2206 ms/iter
> bench: embedders:heap/update/wasm64_update_write_fwd_1gb_step_4kb_page_delta  2203 ms/iter
> bench: embedders:heap/update/wasm32_update_write_fwd_1gb_step_4kb_new_allocation  1786 ms/iter
> bench: embedders:heap/update/wasm64_update_write_fwd_1gb_step_4kb_new_allocation  1793 ms/iter
> bench: embedders:heap/update/wasm32_update_write_fwd_1gb_step_16kb_checkpoint  1437 ms/iter
> bench: embedders:heap/update/wasm64_update_write_fwd_1gb_step_16kb_checkpoint  1412 ms/iter
> bench: embedders:heap/update/wasm32_update_write_fwd_1gb_step_16kb_page_delta  1391 ms/iter
> bench: embedders:heap/update/wasm64_update_write_fwd_1gb_step_16kb_page_delta  1384 ms/iter
> bench: embedders:heap/update/wasm32_update_write_fwd_1gb_step_16kb_new_allocation  1093 ms/iter
> bench: embedders:heap/update/wasm64_update_write_fwd_1gb_step_16kb_new_allocation  1080 ms/iter
> bench: embedders:heap/update/wasm32_update_write_fwd_1gb_step_2mb_checkpoint    20 ms/iter
> bench: embedders:heap/update/wasm64_update_write_fwd_1gb_step_2mb_checkpoint    21 ms/iter
> bench: embedders:heap/update/wasm32_update_write_fwd_1gb_step_2mb_page_delta    16 ms/iter
> bench: embedders:heap/update/wasm64_update_write_fwd_1gb_step_2mb_page_delta    17 ms/iter
> bench: embedders:heap/update/wasm32_update_write_fwd_1gb_step_2mb_new_allocation    11 ms/iter
> bench: embedders:heap/update/wasm64_update_write_fwd_1gb_step_2mb_new_allocation    11 ms/iter
> bench: embedders:heap/update/wasm32_update_write_bwd_1gb_step_8_checkpoint  2122 ms/iter
> bench: embedders:heap/update/wasm64_update_write_bwd_1gb_step_8_checkpoint  2283 ms/iter
> bench: embedders:heap/update/wasm32_update_write_bwd_1gb_step_8_page_delta  2346 ms/iter
> bench: embedders:heap/update/wasm64_update_write_bwd_1gb_step_8_page_delta  2360 ms/iter
> bench: embedders:heap/update/wasm32_update_write_bwd_1gb_step_8_new_allocation  1906 ms/iter
> bench: embedders:heap/update/wasm64_update_write_bwd_1gb_step_8_new_allocation  1899 ms/iter
> bench: embedders:heap/update/wasm32_update_write_bwd_1gb_step_4kb_checkpoint  2095 ms/iter
> bench: embedders:heap/update/wasm64_update_write_bwd_1gb_step_4kb_checkpoint  2076 ms/iter
> bench: embedders:heap/update/wasm32_update_write_bwd_1gb_step_4kb_page_delta  2227 ms/iter
> bench: embedders:heap/update/wasm64_update_write_bwd_1gb_step_4kb_page_delta  2261 ms/iter
> bench: embedders:heap/update/wasm32_update_write_bwd_1gb_step_4kb_new_allocation  1804 ms/iter
> bench: embedders:heap/update/wasm64_update_write_bwd_1gb_step_4kb_new_allocation  1815 ms/iter
> bench: embedders:heap/update/wasm32_update_write_bwd_1gb_step_16kb_checkpoint  1437 ms/iter
> bench: embedders:heap/update/wasm64_update_write_bwd_1gb_step_16kb_checkpoint  1437 ms/iter
> bench: embedders:heap/update/wasm32_update_write_bwd_1gb_step_16kb_page_delta  1399 ms/iter
> bench: embedders:heap/update/wasm64_update_write_bwd_1gb_step_16kb_page_delta  1417 ms/iter
> bench: embedders:heap/update/wasm32_update_write_bwd_1gb_step_16kb_new_allocation  1107 ms/iter
> bench: embedders:heap/update/wasm64_update_write_bwd_1gb_step_16kb_new_allocation  1105 ms/iter
> bench: embedders:heap/update/wasm32_update_write_bwd_1gb_step_2mb_checkpoint    21 ms/iter
> bench: embedders:heap/update/wasm64_update_write_bwd_1gb_step_2mb_checkpoint    21 ms/iter
> bench: embedders:heap/update/wasm32_update_write_bwd_1gb_step_2mb_page_delta    16 ms/iter
> bench: embedders:heap/update/wasm64_update_write_bwd_1gb_step_2mb_page_delta    16 ms/iter
> bench: embedders:heap/update/wasm32_update_write_bwd_1gb_step_2mb_new_allocation    11 ms/iter
> bench: embedders:heap/update/wasm64_update_write_bwd_1gb_step_2mb_new_allocation    11 ms/iter
    Storing results in EMBEDDERS_HEAP.min
==> Summarizing Embedders Heap results:
    MIN_FILE     := EMBEDDERS_HEAP.min
    BASELINE_DIR := ./rs/execution_environment/benches/baseline
= c5e2324da2..3cc2d870fb: Embedders Heap total time: 127663 ms (improved by -12274.2 ms / -8.8%)
  Top 10 by time:
  + embedders:heap/query/wasm32_query_read_bwd_1gb_step_8_checkpoint time regressed by 68.0 ms (15.9%)
  + embedders:heap/query/wasm64_query_read_fwd_1gb_step_8_checkpoint time regressed by 43.1 ms (9.7%)
  + embedders:heap/update/wasm32_update_read_fwd_1gb_step_8_checkpoint time regressed by 17.5 ms (4.8%)
  + embedders:heap/update/wasm32_update_write_bwd_1gb_step_2mb_checkpoint time regressed by 2.4 ms (12.8%)
  + embedders:heap/update/wasm64_update_write_bwd_1gb_step_2mb_checkpoint time regressed by 1.9 ms (9.3%)
  + embedders:heap/update/wasm64_update_write_fwd_1gb_step_2mb_checkpoint time regressed by 1.6 ms (7.9%)
  + embedders:heap/update/wasm64_update_write_fwd_1gb_step_2mb_page_delta time regressed by 1.6 ms (10.5%)
  + embedders:heap/update/wasm32_update_write_fwd_1gb_step_2mb_checkpoint time regressed by 1.0 ms (4.9%)
  - embedders:heap/update/wasm32_update_write_bwd_1gb_step_8_checkpoint time improved by -241.9 ms (-10.2%)
  - embedders:heap/update/wasm32_update_write_fwd_1gb_step_8_checkpoint time improved by -240.4 ms (-10.3%)
  - embedders:heap/update/wasm32_update_write_bwd_1gb_step_8_page_delta time improved by -232.2 ms (-9.0%)
  - embedders:heap/query/wasm64_query_write_fwd_1gb_step_8_checkpoint time improved by -221.7 ms (-17.8%)
  - embedders:heap/query/wasm32_query_write_bwd_1gb_step_4kb_checkpoint time improved by -219.6 ms (-19.4%)
  - embedders:heap/update/wasm64_update_write_fwd_1gb_step_8_checkpoint time improved by -211.3 ms (-8.9%)
  - embedders:heap/query/wasm32_query_write_fwd_1gb_step_4kb_checkpoint time improved by -206.9 ms (-18.8%)
  - embedders:heap/update/wasm64_update_write_fwd_1gb_step_4kb_page_delta time improved by -205.8 ms (-8.5%)
  - embedders:heap/update/wasm32_update_write_bwd_1gb_step_4kb_page_delta time improved by -201.2 ms (-8.3%)
  - embedders:heap/query/wasm64_query_write_bwd_1gb_step_4kb_checkpoint time improved by -194.2 ms (-17.5%)
  Top 10 by percentage:
  + embedders:heap/query/wasm32_query_read_bwd_1gb_step_8_checkpoint time regressed by 15.9% (68.0 ms)
  + embedders:heap/update/wasm32_update_write_bwd_1gb_step_2mb_checkpoint time regressed by 12.8% (2.4 ms)
  + embedders:heap/update/wasm64_update_write_fwd_1gb_step_2mb_page_delta time regressed by 10.5% (1.6 ms)
  + embedders:heap/query/wasm64_query_read_fwd_1gb_step_8_checkpoint time regressed by 9.7% (43.1 ms)
  + embedders:heap/update/wasm64_update_write_bwd_1gb_step_2mb_checkpoint time regressed by 9.3% (1.9 ms)
  + embedders:heap/update/wasm64_update_write_fwd_1gb_step_2mb_checkpoint time regressed by 7.9% (1.6 ms)
  + embedders:heap/update/wasm32_update_write_fwd_1gb_step_2mb_checkpoint time regressed by 4.9% (1.0 ms)
  + embedders:heap/update/wasm32_update_read_fwd_1gb_step_8_checkpoint time regressed by 4.8% (17.5 ms)
  - embedders:heap/query/wasm32_query_write_bwd_1gb_step_2mb_checkpoint time improved by -39.0% (-3.5 ms)
  - embedders:heap/query/wasm64_query_write_bwd_1gb_step_2mb_new_allocation time improved by -37.9% (-2.9 ms)
  - embedders:heap/query/wasm64_query_write_bwd_1gb_step_2mb_checkpoint time improved by -37.5% (-3.3 ms)
  - embedders:heap/query/wasm32_query_read_bwd_1gb_step_2mb_new_allocation time improved by -36.7% (-2.4 ms)
  - embedders:heap/query/wasm32_query_write_bwd_1gb_step_2mb_new_allocation time improved by -36.5% (-2.8 ms)
  - embedders:heap/query/wasm64_query_read_bwd_1gb_step_2mb_new_allocation time improved by -36.3% (-2.4 ms)
  - embedders:heap/update/wasm64_update_read_bwd_1gb_step_2mb_new_allocation time improved by -34.4% (-2.1 ms)
